Ime občine,"Površina (kv. km)","Št. preb.","Št. preb. (kv. km)","Št. naselij","Ustanovitev (leto)",Pokrajina,Statistična regija,"Odcepitev (od občine)"
Dobrovnik,"31,1",1.300,42,3,1998,Prekmurje,Pomurska,Lendava
Dol pri Ljubljani,"33,3",5.200,156,19,1994,Gorenjska,Osrednjeslovenska,"Ljubljana Bežigrad, Ljubljana Moste - Polje"
Dolenjske Toplice,"110,2",3.400,31,29,1998,Dolenjska,Jugovzhodna,Novo mesto
Domžale,"72,3",33.200,460,51,-,Gorenjska,Osrednjeslovenska,-
Dornava,"28,4",2.900,102,12,1994,Štajerska,Podravska,Ptuj
Dravograd,105,9.100,87,24,-,Koroška,Koroška,-
Duplek,"39,4",6.990,177,10,1994,Štajerska,Podravska,Maribor
Gorenja vas - Poljane,"153,3",7.200,45,73,1994,Gorenjska,Gorenjska,Škofja Loka
Gorišnica,"61,2",3.961,65,11,1994,Štajerska,Podravska,Ptuj
Gorje,"116,2",2.904,25,12,2006,Gorenjska,Gorenjska,Bled
Gornja Radgona,"73,4",8.606,117,30,-,Štajerska,Pomurska,-
Gornji Grad,"90,1",2.643,29,7,1994,Štajerska,Savinjska,Mozirje
Gornji Petrovci,"66,8",2.193,33,14,1994,Prekmurje,Pomurska,Murska Sobota
Grad,"37,4",2.259,60,7,-,Prekmurje,Pomurska,"Murska Sobota ('94), Kuzma ('98)"
Grosuplje,"133,8",18.634,139,66,-,Dolenjska,Osrednjeslovenska,-
Hajdina,"21,6",3.492,162,7,1998,Štajerska,Podravska,Ptuj
Hoče - Slivnica,"53,7",10.844,202,13,1998,Štajerska,Podravska,Maribor
Hodoš,"18,1",340,19,2,1999,Prekmurje,Pomurska,"Murska Sobota ('94), Hodoš - Šalovci ('98)"
Horjul,"32,5",2.622,81,9,1998,Notranjska,Osrednjeslovenska,"Lubljana Vič - Rudnik ('94), Dobrova - Polhov Gradec"
Hrastnik,"58,6",10.107,172,19,-,Štajerska,Zasavska,-
Hrpelje - Kozina,195,4.126,21,38,1994,Primorska,Obalno-kraška,Sežana
Idrija,"293,7",11.865,40,35,-,Primorska,Goriška,-
Ig,"98,8",6.442,65,24,1994,Notranjska,Osrednjeslovenska,Ljubljana Vič - Rudnik
Ilirska Bistrica,480,13.908,29,63,-,Notranjska,"Primorsko-Notranjska",-
Ivančna Gorica,227,15.008,66,137,1994,Dolenjska,Osrednjeslovenska,Grosuplje
Izola,"28,6",15.946,558,137,-,Primorska,Obalno-kraška,-
Jesenice,"75,8",21.828,288,13,-,Gorenjska,Gorenjska,-
Jezersko,"68,8",664,10,2,1998,Gorenjska,Gorenjska,"Kranj ('94), Preddvor ('98)"
Juršinci,"36,3",2.206,60,13,1994,Štajerska,Podravska,Ptuj
Kamnik,"265,6",28.677,100,102,-,Gorenjska,Osrednjeslovenska,-
Kanal,"146,5",5.871,40,22,1994,Primorska,Goriška,Nova Gorica
Kidričevo,"71,5",6.619,93,18,1994,Štajerska,Podravska,Ptuj
Kobarid,"192,7",4.208,22,33,1994,Primorska,Goriška,Tolmin
Kobilje,"19,7",612,31,1,1994,Prekmurje,Pomurska,Lendava
Kočevje,"563,7",16.627,29,68,-,Dolenjska,Osrednjeslovenska,-
Komen,"102,7",3.489,34,35,1994,Primorska,Obalno-kraška,Sežana
Komenda,"24,1",5.082,211,14,1998,Gorenjska,Osrednjeslovenska,Kamnik
Koper,"303,2",47.539,157,104,-,Primorska,Obalno-kraška,-
Kostanjevica na Krki,"62,3",2.413,39,28,2006,Dolenjska,Posavska,Krško
Kostel,"56,7",647,11,52,1998,Dolenjska,Jugovzhodna,Kočevje
Kozje,"89,7",3.245,38,23,1994,Štajerska,Savinjska,Šmarje pri Jelšah
Kranj,"150,9",54.188,359,49,-,Gorenjska,Gorenjska,-
Kranjska Gora,"256,3",5.309,21,10,1994,Gorenjska,Gorenjska,Jesenice
Križevci,"46,2",3.750,81,16,1998,Štajerska,Pomurska,Ljutomer
Krško,"286,5",25.600,89,157,-,Dolenjska,Posavska,-
Kungota,49,4.713,96,19,1994,Štajerska,Podravska,Pesnica
Kuzma,"22,9",1.571,69,5,1994,Prekmurje,Pomurska,Murska Sobota
Laško,"197,5",13.701,69,85,-,Štajerska,Savinjska,-
Lenart,62,7.862,127,22,-,Štajerska,Podravska,-
Lendava,123,11.157,91,23,-,Prekmurje,Pomurska,-
Litija,221,14.529,66,108,-,Gorenjska,Osrednjeslovenska,-
Ljubljana,275,276.091,1004,38,1994,"Dolenj., Gorenjska",Osrednjeslovenska,"Lj. Bežigrad, Lj. Center, Lj. Moste - Polje, Lj. Šiška, Lj. Vič - Rudnik"
Ljubno,"78,9",2.644,34,9,1994,Štajerska,Savinjska,Mozije
Ljutomer,"107,2",11.845,110,44,-,Štajerska,Pomurska,-
Log - Dragomer,11,3.538,322,3,2006,Notranjska,Osrednjeslovenska,"Brezovica, Vrhnika (samost. 1907-52)"
Logatec,"173,1",12.757,74,19,-,Notranjska,Osrednjeslovenska,-
Loška dolina,"166,8",3.809,23,21,1994,Notranjska,"Primorsko-Notranjska",Cerknica
Loški potok,"134,5",1.954,15,17,1994,Dolenjska,Jugovzhodna,Ribnica
Lovrenc na Pohorju,"84,4",3.120,37,7,1998,Štajerska,Podravska,"Maribor Ruše ('94), Ruše ('98)"
Luče,"109,5",1.535,14,7,1994,Štajerska,Savinjska,Mozirje
Lukovica,"74,9",5.365,72,66,1994,Gorenjska,Osrednjeslovenska,Domžale
Majšperk,"72,8",4.045,56,26,1994,Štajerska,Podravska,Ptuj
Makole,"36,9",2.089,57,13,2006,Štajerska,Podravska,Slovenska Bistrica
Maribor,"147,5",113.113,767,33,-,Štajerska,Podravska,-
Markovci,"29,8",3.973,133,9,1998,Štajerska,Podravska,Ptuj
